Category: All categories

Week,Meme coin: (Worldwide)
2023-01-01,6
2023-01-08,5
2023-01-15,5
2023-01-22,5
2023-01-29,6
2023-02-05,5
2023-02-12,6
2023-02-19,5
2023-02-26,4
2023-03-05,4
2023-03-12,4
2023-03-19,4
2023-03-26,4
2023-04-02,6
2023-04-09,5
2023-04-16,20
2023-04-23,17
2023-04-30,54
2023-05-07,89
2023-05-14,56
2023-05-21,31
2023-05-28,26
2023-06-04,22
2023-06-11,22
2023-06-18,22
2023-06-25,21
2023-07-02,21
2023-07-09,18
2023-07-16,19
2023-07-23,17
2023-07-30,21
2023-08-06,18
2023-08-13,18
2023-08-20,14
2023-08-27,16
2023-09-03,15
2023-09-10,13
2023-09-17,16
2023-09-24,26
2023-10-01,17
2023-10-08,13
2023-10-15,13
2023-10-22,33
2023-10-29,100
2023-11-05,52
2023-11-12,61
2023-11-19,38
2023-11-26,27
2023-12-03,48
2023-12-10,46
2023-12-17,71
2023-12-24,77
